错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
或许，有人会提议道：[BD/]既然彼此的感情出了问题，双方难以和睦相处，那么就尽早离婚吧！,200103533533250019,新加坡,2,200103,我对离婚问题的看法,80,90,70,51,85,371,C,
小时候我读书不用功，放学了，到了家里丢了书包就跟朋友们玩，看城市里今晚演的是什么戏，要不然就去河里去游泳。,200110540540150009,印度尼西亚,1,200110,我的童年,65,85,30,44,65,279,未参加,
我的母亲很慈祥，我从小到大，尤其是童年时[F時]期，对我特别照顾。,200103680519101602,马来西亚,1,200103,我的童年,80,85,61,47,76,343,C,
大伙儿都是男的，所以玩的方式都很粗鲁，也常常逗得我气呼呼{CQ的}才可以。,200103680519201614,马来西亚,2,200103,我的童年,85,85,91,75,85,416,A,
我等待{CC等到}你们的消息。,200104124630200404,西班牙,2,200104,一封写给父母的信,65,75,38,37,49,251,未参加,
我觉得，在这里读书比在家里{CD还是}更有意思。,200104124545100427,乌兹别克斯坦,1,200104,一封写给父母的信,65,80,60,44,70,307,C,
我深深{CC深切}感谢你们。,200105550523250043,韩国,2,200105,一封写给父母的信,70,70,58,58,63,307,C,
今天{CJ-zhuy你们}也过得开心{CC开郎}吧？,200105550523150049,韩国,1,200105,一封写给父母的信,75,85,63,61,47,324,C,
明年我当老师以后，我愿意结婚。,200105550523250047,韩国,2,200105,一封写给父母的信,70,70,38,49,61,276,未参加,
我不能让你们失望[B忘]。,200105550523250343,韩国,2,200105,一封写给父母的信,65,80,58,51,54,296,C,
而且好好照看弟弟和妹妹。,200105550523250352,韩国,2,200105,一封写给父母的信,70,60,47,51,40,253,未参加,
希望你们身体健康。,200105550523250469,韩国,2,200105,一封写给父母的信,65,70,49,70,63,303,C,
有时我也写信给你们，不过上研究生院{CJdp}之后，因为我的研究生活很紧张而{CC且}每天很忙{CC百忙之中}，我也抽不出太多的时间给你们写信。,200105550525150516,日本,1,200105,一封写给父母的信,70,80,38,44,63,285,未参加,
我在街上碰到好几个穿中山服的。,200105212525100015,日本,1,200105,我的一个假期,75,70,75,75,74,358,B,
那时骑{CD了}半小时就休息半小时，{CQ虽然}那样辛苦了{CD了}，但我们仍然坚持继续下去了。,200105209525100005,日本,1,200105,我的一个假期,70,70,70,65,72,335,C,
我现在在中国留学。,200105209525100055,日本,1,200105,我的一个假期,65,70,34,63,57,275,未参加,
进到周庄以后也一样，每条小路都有人，有时不能走过去。,200105201525200011,日本,2,200105,我的一个假期,70,70,72,68,63,331,C,
可最大的原因是为了{CC发现}韩国的男朋友。,200105201525200050,日本,2,200105,我的一个假期,70,70,57,54,41,280,未参加,
我看见在红绿灯交口被迫[B破]等候的骑自行车的人，觉得像是即将比赛似的。,200105201525200077,日本,2,200105,我的一个假期,70,75,44,39,50,267,未参加,
我整整一天在海里游泳、[BC，]晒太阳。,200105302525200046,日本,2,200105,我的一个假期,65,70,67,51,50,289,C,
主要目的是在哈尔滨看冰灯。,200105302525100061,日本,1,200105,我的一个假期,65,80,44,75,76,328,未参加,
因为现在三十九度左右，晚上也差不多一样。,200105109525100706,日本,1,200105,由“三个和尚没水喝”想到的……,60,55,45,64,57,262,未参加,
”但是大家都是一样的想法，就没有人去抬水。,200105109525200725,日本,2,200105,由“三个和尚没水喝”想到的……,65,70,70,58,66,315,C,
因为{CC2为}缺水很多人死了。,200105109525100732,日本,1,200105,由“三个和尚没水喝”想到的……,65,60,41,55,57,261,未参加,
为了防止这样悲惨的未来，我们应该努力合[B和]作，努力保护环境。,200105109525200738,日本,2,200105,由“三个和尚没水喝”想到的……,65,70,57,73,50,301,C,
虽然我头一次来到这里，{CP不过佛[B沸]教的道理来说如果别人有困难该帮助，你这么说的话，还有资格当和尚吗？P},200105109525100793,日本,1,200105,由“三个和尚没水喝”想到的……,70,55,59,64,61,293,C,
一开始新生活就跟{CC比}以前不一样了。,200106570525250005,日本,2,200106,如何看待“妻子回家”,65,80,58,58,58,307,C,
对于[F於]妇女辞职回家这[F這]个现[F現]象，我觉[F覺]得是因人而异[F異]的。,200106570919250013,加拿大,2,200106,如何看待“妻子回家”,70,85,85,85,80,397,B,
勤劳的和尚受到后来的懒惰的和尚的影响，故也不肯挑水了；[BC。]另一种是：原先的和尚认为自己挑水多年了，后来的和尚应“接班”，但后来的和尚却不肯干，大家扯皮没有人肯挑水了。,200102522522150012,缅甸,1,200102,由“三个和尚没水喝”想到的……,95,80,71,81,97,420,B,
第二个和尚就想：[BC，]“抬水嘛[B吗]，[BC！]这事一个人干[F幹]也行，干[F幹]嘛[B吗]要我去操心呢？,200102522522250020,缅甸,2,200102,由“三个和尚没水喝”想到的……,70,85,57,66,88,358,C,
那年我12岁，生姐18岁。,200203522522250009,缅甸,2,200203,记对我影响最大的一个人,85,80,79,77,91,405,B,
请救他们的痛苦！[BD！],200205204525100191,日本,1,200205,如何看待“安乐死”,65,65,58,54,54,280,C,
对“安乐死”的问题，我的看法是坚[Pjiān]决的——[BC。]不应该取。,200205212525100023,日本,1,200205,如何看待“安乐死”,75,65,66,79,89,361,C,
我想应该改法律才行，他不应该受到法律的制裁。,200205212525200026,日本,2,200205,如何看待“安乐死”,65,65,41,58,58,271,未参加,
但是最近社会对“安乐死”公认的要求越来越高。{CD是},200205209525200066,日本,2,200205,如何看待“安乐死”,60,70,60,79,68,322,C,
我的看法是同意安乐死。,200205201525100158,日本,1,200205,如何看待“安乐死”,75,70,60,76,51,321,C,
