错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
依稀记得，大腹便便的母亲左手拎{CC腕}着水桶，右手牵着蹒跚步伐的我，紧随着父亲的手推车，合力与父亲沿街叫卖日式冷食：寿司、[BC，]烟[F煙]熏鲨鱼肉等。,200110540540250007,印度尼西亚,2,200110,我的童年,70,90,77,73,88,391,B,
我灵机一动[F動]，对妈[F媽]妈[F媽]说：“[BC「]妈[F媽]，马[F馬]加智市郊不是有个[F個]美军[F軍]烈士纪念墓园[F園]嗎？,200111512512250007,菲律宾,2,200111,我的一个假期,85,85,90,61,98,414,B,
因为我上周有期中考试，准备的时间很少，所以没有回信。,200104124545100107,乌兹别克斯坦,1,200104,一封写给父母的信,75,90,47,54,58,318,C,
妈妈现在您很辛苦，但是您等一等{CC等会儿}。,200105550523250008,韩国,2,200105,一封写给父母的信,70,70,58,42,61,289,C,
因为我快要毕业了，所以这几个月特别忙。,200105550523150028,韩国,1,200105,一封写给父母的信,65,70,41,47,67,276,未参加,
下月我一定要回家，那时候我肯定找到工作了。,200105550523150028,韩国,1,200105,一封写给父母的信,65,70,41,47,67,276,未参加,
你们知道吗？,200105550523250037,韩国,2,200105,一封写给父母的信,65,75,47,58,56,288,C,
好久没[F沒]写[F寫]信给[F給]你们[F們]，[BC.]真不好意思。[BC，],200105550523150520,韩国,1,200105,一封写给父母的信,80,65,60,35,38,266,未参加,
我还记得那一个小亭子，四周都是竹子，离杜甫草堂很近。,200105209627100063,瑞士,1,200105,我的一个假期,65,60,34,46,63,251,未参加,
那么，为什么我{CC你}不参加同学们的旅游呢？,200105209525200065,日本,2,200105,我的一个假期,90,90,77,51,79,385,C,
不过有一个变化，我弟弟的个子高了。,200105201525200006,日本,2,200105,我的一个假期,65,70,55,75,70,321,C,
我也是这样的学生之一。,200105201525200015,日本,2,200105,我的一个假期,60,65,52,61,57,278,未参加,
由“三个和尚没水喝”[BD，]我想到人类的欲望。,200105109525200694,日本,2,200105,由“三个和尚没水喝”想到的……,65,80,54,60,53,300,C,
人多了，反而没有水喝了。,200105109631200723,希腊,2,200105,由“三个和尚没水喝”想到的……,80,65,48,42,37,260,未参加,
如果每一个人都{CD有}自觉地对社会环境{CQ做}有利的事，每一个人也可以得到好处。,200105109525200739,日本,2,200105,由“三个和尚没水喝”想到的……,70,80,66,75,79,360,C,
下面，试谈我对这篇短文的理解和感受。,200105109525200803,日本,2,200105,由“三个和尚没水喝”想到的……,80,70,77,53,82,352,C,
如果{CJ-sy拥有}充分的钱，我们似乎可以得到任何{CC什么}东西、[BC，]任何{CC什么}服务。,200105109525200822,日本,2,200105,由“三个和尚没水喝”想到的……,75,65,84,77,91,379,B,
比如说，在街上、商店里，[BC、]特别是公共汽车上可以看到无数的人群。,200105109525200834,日本,2,200105,由“三个和尚没水喝”想到的……,65,50,66,58,55,275,未参加,
如果原因是人多了，那岂[F豈]不是违反了人多好办事、[BC，][BQ“]三个臭皮匠，胜过一个诸葛亮[BQ”]的{CD成语[F語]}{CJ-zxy道理}吗[F嗎]？,200102522522150015,缅甸,1,200102,由“三个和尚没水喝”想到的……,85,90,43,68,82,364,未参加,
这段故事从中国[C]传来{CC传说}的{CJsd}。[BC，],200102522522250017,缅甸,2,200102,由“三个和尚没水喝”想到的……,70,75,33,44,26,237,未参加,
因为杀人一般利用人情隐藏自己的杀人行为[B爲]。,200205204525200037,日本,2,200205,如何看待“安乐死”,75,65,38,40,49,254,未参加,
现在在世界上很多国家面临着这个“安乐死”的问题。,200205204525100068,日本,1,200205,如何看待“安乐死”,65,70,52,63,65,301,C,
所以在西方国家往往对这个问题在道德的层次议论很多{CC纷纷}。,200205204525100168,日本,1,200205,如何看待“安乐死”,75,85,60,65,70,348,C,
随着医学界的发展，现在许多病可以治疗的，但同时也有不治之症。,200205212525200015,日本,2,200205,如何看待“安乐死”,65,80,33,72,58,296,未参加,
在日本也有与这段短文类似的两件事。,200205224525200025,日本,2,200205,如何看待“安乐死”,70,75,41,76,54,305,未参加,
所以即使我的妈妈要求是安乐死，可是我不敢采取{CC2取}这个办法。,200205224525200041,日本,2,200205,如何看待“安乐死”,70,70,46,49,46,269,未参加,
每个人的意见都不同{CC纷纭}[BQ，]至今找不到解决的办法{CC5解口}。,200205209525100058,日本,1,200205,如何看待“安乐死”,60,65,52,65,49,274,未参加,
在我看来，如果某一个人痛苦得很，不想活了，还有人帮助他，也没有什么不道德的，不应该罚他罚得厉害。,200205201635200142,俄罗斯,2,200205,如何看待“安乐死”,90,75,58,63,63,343,C,
今年，在日本出了一种“脑死”的问题。,200205201525200147,日本,2,200205,如何看待“安乐死”,80,80,55,56,44,307,C,
子女应[F應]该[F該]明白{CJ+buy到}父母只是不想{CQ让}他们[F們]走{CC行}不正确[F確]的路，并[F並]不是有心跟他们[F們]对抗的。,200210602801250020,澳大利亚,2,200210,如何解决“代沟”问题,75,75,56,73,82,351,C,
